model,image_id,fae_method,metric,score
squeezenet,ISIC_0012395,gradcam,max_sensitivity,0.5873063802719116
squeezenet,ISIC_0012395,gradcam,relevance_mass_accuracy,0.29329827427864075
resnet18,ISIC_0012425,integrated_gradients,faithfulness_correlation,0.16007818281650543
resnet18,ISIC_0012425,integrated_gradients,max_sensitivity,1.4124795198440552
resnet18,ISIC_0012425,integrated_gradients,relevance_mass_accuracy,0.3905092179775238
resnet18,ISIC_0012425,saliency,faithfulness_correlation,0.11056700348854065
resnet18,ISIC_0012425,saliency,max_sensitivity,0.906642735004425
resnet18,ISIC_0012425,saliency,relevance_mass_accuracy,0.03228560835123062
resnet18,ISIC_0012425,gradcam,faithfulness_correlation,0.16936440765857697
resnet18,ISIC_0012425,gradcam,max_sensitivity,0.8992776870727539
resnet18,ISIC_0012425,gradcam,relevance_mass_accuracy,0.04340032488107681
squeezenet,ISIC_0012425,integrated_gradients,faithfulness_correlation,-0.0447579063475132
squeezenet,ISIC_0012425,integrated_gradients,max_sensitivity,1.3817822933197021
squeezenet,ISIC_0012425,integrated_gradients,relevance_mass_accuracy,0.8894448280334473
squeezenet,ISIC_0012425,saliency,faithfulness_correlation,0.16003090143203735
squeezenet,ISIC_0012425,saliency,max_sensitivity,0.9401988983154297
squeezenet,ISIC_0012425,saliency,relevance_mass_accuracy,0.04984394088387489
squeezenet,ISIC_0012425,gradcam,faithfulness_correlation,0.1593838632106781
squeezenet,ISIC_0012425,gradcam,max_sensitivity,0.9297875165939331
squeezenet,ISIC_0012425,gradcam,relevance_mass_accuracy,0.21611790359020233
resnet18,ISIC_0012758,integrated_gradients,faithfulness_correlation,0.12950918078422546
resnet18,ISIC_0012758,integrated_gradients,max_sensitivity,1.299697756767273
resnet18,ISIC_0012758,integrated_gradients,relevance_mass_accuracy,-1.0472110509872437
resnet18,ISIC_0012758,saliency,faithfulness_correlation,0.0827849879860878
resnet18,ISIC_0012758,saliency,max_sensitivity,0.8708812594413757
resnet18,ISIC_0012758,saliency,relevance_mass_accuracy,0.13322600722312927
resnet18,ISIC_0012758,gradcam,faithfulness_correlation,-0.22573690116405487
resnet18,ISIC_0012758,gradcam,max_sensitivity,0.5991144776344299
resnet18,ISIC_0012758,gradcam,relevance_mass_accuracy,0.33661016821861267
squeezenet,ISIC_0012758,integrated_gradients,faithfulness_correlation,-0.16591975092887878
squeezenet,ISIC_0012758,integrated_gradients,max_sensitivity,1.5978323221206665
squeezenet,ISIC_0012758,integrated_gradients,relevance_mass_accuracy,1.440714716911316
squeezenet,ISIC_0012758,saliency,faithfulness_correlation,0.019294237717986107
squeezenet,ISIC_0012758,saliency,max_sensitivity,1.061476469039917
squeezenet,ISIC_0012758,saliency,relevance_mass_accuracy,0.19329342246055603
squeezenet,ISIC_0012758,gradcam,faithfulness_correlation,0.1728726029396057
squeezenet,ISIC_0012758,gradcam,max_sensitivity,0.8329775929450989
squeezenet,ISIC_0012758,gradcam,relevance_mass_accuracy,0.5464221835136414
resnet18,ISIC_0012989,integrated_gradients,faithfulness_correlation,-0.1447572410106659
resnet18,ISIC_0012989,integrated_gradients,max_sensitivity,1.3003829717636108
resnet18,ISIC_0012989,integrated_gradients,relevance_mass_accuracy,-1.3411281108856201
resnet18,ISIC_0012989,saliency,faithfulness_correlation,0.09632210433483124
resnet18,ISIC_0012989,saliency,max_sensitivity,0.8396525979042053
resnet18,ISIC_0012989,saliency,relevance_mass_accuracy,0.08715298026800156
resnet18,ISIC_0012989,gradcam,faithfulness_correlation,0.03286789357662201
resnet18,ISIC_0012989,gradcam,max_sensitivity,0.5016862154006958
resnet18,ISIC_0012989,gradcam,relevance_mass_accuracy,0.09320901334285736
squeezenet,ISIC_0012989,integrated_gradients,faithfulness_correlation,-0.0005256589502096176
squeezenet,ISIC_0012989,integrated_gradients,max_sensitivity,1.3720192909240723
squeezenet,ISIC_0012989,integrated_gradients,relevance_mass_accuracy,1.1565368175506592
squeezenet,ISIC_0012989,saliency,faithfulness_correlation,0.13600578904151917
squeezenet,ISIC_0012989,saliency,max_sensitivity,0.9258387684822083
squeezenet,ISIC_0012989,saliency,relevance_mass_accuracy,0.14009623229503632
squeezenet,ISIC_0012989,gradcam,faithfulness_correlation,0.3904683291912079
squeezenet,ISIC_0012989,gradcam,max_sensitivity,0.4784420430660248
squeezenet,ISIC_0012989,gradcam,relevance_mass_accuracy,0.3371993601322174
resnet18,ISIC_0013072,integrated_gradients,faithfulness_correlation,-0.012220039963722229
resnet18,ISIC_0013072,integrated_gradients,max_sensitivity,1.4812415838241577
resnet18,ISIC_0013072,integrated_gradients,relevance_mass_accuracy,4.164515495300293
resnet18,ISIC_0013072,saliency,faithfulness_correlation,0.13520853221416473
resnet18,ISIC_0013072,saliency,max_sensitivity,0.9157139658927917
resnet18,ISIC_0013072,saliency,relevance_mass_accuracy,0.27066001296043396
resnet18,ISIC_0013072,gradcam,faithfulness_correlation,0.1465059369802475
resnet18,ISIC_0013072,gradcam,max_sensitivity,0.5319985151290894
resnet18,ISIC_0013072,gradcam,relevance_mass_accuracy,-0.03563283383846283
squeezenet,ISIC_0013072,integrated_gradients,faithfulness_correlation,0.08026155084371567
squeezenet,ISIC_0013072,integrated_gradients,max_sensitivity,1.43477463722229
squeezenet,ISIC_0013072,integrated_gradients,relevance_mass_accuracy,1.0028009414672852
squeezenet,ISIC_0013072,saliency,faithfulness_correlation,0.14642637968063354
squeezenet,ISIC_0013072,saliency,max_sensitivity,1.0888936519622803
squeezenet,ISIC_0013072,saliency,relevance_mass_accuracy,0.33425790071487427
squeezenet,ISIC_0013072,gradcam,faithfulness_correlation,0.29391369223594666
squeezenet,ISIC_0013072,gradcam,max_sensitivity,0.7878800630569458
squeezenet,ISIC_0013072,gradcam,relevance_mass_accuracy,0.43160802125930786
resnet18,ISIC_0012092,integrated_gradients,faithfulness_correlation,0.05046363174915314
resnet18,ISIC_0012092,integrated_gradients,max_sensitivity,1.4139404296875
resnet18,ISIC_0012092,integrated_gradients,relevance_mass_accuracy,-0.22473694384098053
resnet18,ISIC_0012092,saliency,faithfulness_correlation,-0.033168040215969086
resnet18,ISIC_0012092,saliency,max_sensitivity,0.9279559850692749
resnet18,ISIC_0012092,saliency,relevance_mass_accuracy,0.14968231320381165
resnet18,ISIC_0012092,gradcam,faithfulness_correlation,-0.19686369597911835
resnet18,ISIC_0012092,gradcam,max_sensitivity,1.8588546514511108
resnet18,ISIC_0012092,gradcam,relevance_mass_accuracy,0.1747748702764511
squeezenet,ISIC_0012092,integrated_gradients,faithfulness_correlation,0.03778952732682228
squeezenet,ISIC_0012092,integrated_gradients,max_sensitivity,1.268939733505249
squeezenet,ISIC_0012092,integrated_gradients,relevance_mass_accuracy,1.3499618768692017
squeezenet,ISIC_0012092,saliency,faithfulness_correlation,0.030877815559506416
squeezenet,ISIC_0012092,saliency,max_sensitivity,0.9574655294418335
squeezenet,ISIC_0012092,saliency,relevance_mass_accuracy,0.37128713726997375
squeezenet,ISIC_0012092,gradcam,faithfulness_correlation,-0.1373162716627121
squeezenet,ISIC_0012092,gradcam,max_sensitivity,0.4866233170032501
squeezenet,ISIC_0012092,gradcam,relevance_mass_accuracy,0.6233760714530945
resnet18,ISIC_0012095,integrated_gradients,faithfulness_correlation,-0.015327917411923409
resnet18,ISIC_0012095,integrated_gradients,max_sensitivity,1.272614598274231
resnet18,ISIC_0012095,integrated_gradients,relevance_mass_accuracy,1.3718945980072021
resnet18,ISIC_0012095,saliency,faithfulness_correlation,-0.11637504398822784
resnet18,ISIC_0012095,saliency,max_sensitivity,0.8644339442253113
resnet18,ISIC_0012095,saliency,relevance_mass_accuracy,0.06774593889713287
