model,image_id,fae_method,metric,score
squeezenet,ISIC_0012356,gradcam,relevance_mass_accuracy,0.3694925010204315
squeezenet,ISIC_0012356,deep_lift,faithfulness_correlation,0.046790849417448044
squeezenet,ISIC_0012356,deep_lift,max_sensitivity,1.524705410003662
squeezenet,ISIC_0012356,deep_lift,relevance_mass_accuracy,0.022223101928830147
squeezenet,ISIC_0012356,guided_backprop,faithfulness_correlation,0.11064418405294418
squeezenet,ISIC_0012356,guided_backprop,max_sensitivity,1.3305127620697021
squeezenet,ISIC_0012356,guided_backprop,relevance_mass_accuracy,0.12370800226926804
squeezenet,ISIC_0012356,lrp,faithfulness_correlation,-0.0473514050245285
squeezenet,ISIC_0012356,lrp,max_sensitivity,1.4307831525802612
squeezenet,ISIC_0012356,lrp,relevance_mass_accuracy,-0.29843869805336
squeezenet,ISIC_0012356,occlusion,faithfulness_correlation,0.04150440916419029
squeezenet,ISIC_0012356,occlusion,max_sensitivity,0.8918317556381226
squeezenet,ISIC_0012356,occlusion,relevance_mass_accuracy,0.758270263671875
resnet18,ISIC_0012369,integrated_gradients,faithfulness_correlation,0.14330361783504486
resnet18,ISIC_0012369,integrated_gradients,max_sensitivity,1.2941807508468628
resnet18,ISIC_0012369,integrated_gradients,relevance_mass_accuracy,-0.9588801264762878
resnet18,ISIC_0012369,saliency,faithfulness_correlation,0.020367145538330078
resnet18,ISIC_0012369,saliency,max_sensitivity,0.8511794209480286
resnet18,ISIC_0012369,saliency,relevance_mass_accuracy,0.3046357333660126
resnet18,ISIC_0012369,gradcam,faithfulness_correlation,0.12721101939678192
resnet18,ISIC_0012369,gradcam,max_sensitivity,0.5261580944061279
resnet18,ISIC_0012369,gradcam,relevance_mass_accuracy,0.36924535036087036
resnet18,ISIC_0012369,deep_lift,faithfulness_correlation,0.010218716226518154
resnet18,ISIC_0012369,deep_lift,max_sensitivity,1.1896079778671265
resnet18,ISIC_0012369,deep_lift,relevance_mass_accuracy,2.667125940322876
resnet18,ISIC_0012369,guided_backprop,faithfulness_correlation,0.1041913777589798
resnet18,ISIC_0012369,guided_backprop,max_sensitivity,1.3510807752609253
resnet18,ISIC_0012369,guided_backprop,relevance_mass_accuracy,0.3625944256782532
