,avg_sensitivity,complexity,faithfulness_correlation,max_sensitivity,pixel_flipping,pointing_game,random_logit,relevance_mass_accuracy,sparseness
avg_sensitivity,1.0,-0.4459190281707354,-0.20138056718305444,0.93437428193411,0.1479063329727692,-0.2216381241985021,0.19062519376027617,-0.07289366132725354,0.44259003897687044
complexity,-0.4459190281707354,1.0,0.2424142273236876,-0.3849509055627239,-0.19994073116761993,0.19808142639559348,-0.7896249213538847,-0.01604314037435214,-0.9988954353917123
faithfulness_correlation,-0.20138056718305444,0.2424142273236876,1.0,-0.16275905359503368,-0.0523370009762388,0.12111726849578822,-0.1975491619492235,-0.031250183912638015,-0.23812463870738645
max_sensitivity,0.93437428193411,-0.3849509055627239,-0.16275905359503368,1.0,0.1297610591291423,-0.19646701532479785,0.1749260060018828,-0.08280404353839463,0.38235733610274747
pixel_flipping,0.1479063329727692,-0.19994073116761993,-0.0523370009762388,0.1297610591291423,1.0,-0.014083555148843413,0.1370227300850324,0.07293435126783161,0.19996672493330564
pointing_game,-0.2216381241985021,0.19808142639559348,0.12111726849578822,-0.19646701532479785,-0.014083555148843413,1.0,-0.1351183530566134,0.24803386900072108,-0.19677745205134886
random_logit,0.19062519376027617,-0.7896249213538847,-0.1975491619492235,0.1749260060018828,0.1370227300850324,-0.1351183530566134,1.0,0.016377979706737208,0.7861682238126626
relevance_mass_accuracy,-0.07289366132725354,-0.01604314037435214,-0.031250183912638015,-0.08280404353839463,0.07293435126783161,0.24803386900072108,0.016377979706737208,1.0,0.011970619971118823
sparseness,0.44259003897687044,-0.9988954353917123,-0.23812463870738645,0.38235733610274747,0.19996672493330564,-0.19677745205134886,0.7861682238126626,0.011970619971118823,1.0
