,avg_sensitivity,complexity,faithfulness_correlation,max_sensitivity,pixel_flipping,pointing_game,random_logit,relevance_mass_accuracy,sparseness
avg_sensitivity,1.0,-0.30911797771823735,-0.5098260858578294,0.9763080322540874,0.14962648410358853,-0.11391758144029021,0.29832094761638384,0.22148957188179658,0.2912649237282263
complexity,-0.30911797771823735,1.0,0.22632069481640557,-0.2763631651067254,-0.15780258373717607,-0.1692127939892263,-0.7566601209309464,-0.04053113693376818,-0.9932668628273842
faithfulness_correlation,-0.5098260858578294,0.22632069481640557,1.0,-0.4715142106943048,0.021909940676094763,0.11516809580284544,-0.27780732714418194,-0.09578230776151442,-0.21288059506543075
max_sensitivity,0.9763080322540874,-0.2763631651067254,-0.4715142106943048,1.0,0.15124992201241658,-0.10029863289382109,0.24312015537101309,0.21555780876619035,0.2581512833759095
pixel_flipping,0.14962648410358853,-0.15780258373717607,0.021909940676094763,0.15124992201241658,1.0,0.206476192997699,0.348665821684327,0.2474396817458322,0.14715579623355945
pointing_game,-0.11391758144029021,-0.1692127939892263,0.11516809580284544,-0.10029863289382109,0.206476192997699,1.0,0.23051232038979907,0.20845973852294833,0.16861227856923042
random_logit,0.29832094761638384,-0.7566601209309464,-0.27780732714418194,0.24312015537101309,0.348665821684327,0.23051232038979907,1.0,0.14815054818607748,0.7401635627692864
relevance_mass_accuracy,0.22148957188179658,-0.04053113693376818,-0.09578230776151442,0.21555780876619035,0.2474396817458322,0.20845973852294833,0.14815054818607748,1.0,0.0445933547379766
sparseness,0.2912649237282263,-0.9932668628273842,-0.21288059506543075,0.2581512833759095,0.14715579623355945,0.16861227856923042,0.7401635627692864,0.0445933547379766,1.0
