model,fae_method,image_id,effectiveness_uniform,effectiveness_autoweighted,effectiveness_mqdiscount,effectiveness_single_fc
resnet18,deep_lift,ISIC_0012086,0.1251358603290679,0.06042705920870008,0.455998369530531,1.0126823045108801
resnet18,gradcam,ISIC_0012086,0.17243753487514524,0.1499405136137842,0.40462502082217694,0.056092827354322555
resnet18,guided_backprop,ISIC_0012086,0.02787107244050495,-0.03212034136309747,0.4122849694471534,0.5792499900248739
resnet18,integrated_gradients,ISIC_0012086,0.1448321685928963,0.1417793068534105,0.45885591155951116,0.8706481305956097
resnet18,lrp,ISIC_0012086,0.050628949514459606,0.14937962837108273,0.6697866080998868,0.29950298196973985
resnet18,occlusion,ISIC_0012086,0.1320867797758846,0.11947880414598602,0.301059745379961,0.8020672814129266
resnet18,saliency,ISIC_0012086,0.2519451972415962,0.2851887527357056,0.5677797293066796,0.2322774467660304
resnet18,deep_lift,ISIC_0012092,-0.05667332381408955,0.04785292387876789,0.42850569121512727,-0.7778439025804071
resnet18,gradcam,ISIC_0012092,0.12299554225116688,0.06100918481510975,0.37223888262138505,0.42970716139963744
resnet18,guided_backprop,ISIC_0012092,-0.31880773532650897,-0.22020473398166146,0.2097157505130292,-0.9010642659824311
resnet18,integrated_gradients,ISIC_0012092,-0.18249098001586347,-0.03227675564983679,0.3980873167006157,-1.4782276622262696
resnet18,lrp,ISIC_0012092,0.18381593182239062,0.09057425922229738,0.5828219986207248,1.7709304009549132
resnet18,occlusion,ISIC_0012092,0.30972443704733427,0.1858008116021395,0.40870741241037156,1.335568142260996
resnet18,saliency,ISIC_0012092,-0.246204393920992,-0.12120732857033435,0.0963202270877326,-0.625556009328596
resnet18,deep_lift,ISIC_0012095,-0.013211023331516893,-0.05630402895515967,0.17146511019546132,0.8703471153519348
resnet18,gradcam,ISIC_0012095,0.22931984017051993,-0.027655169815458236,0.2567574573275454,1.833673593776655
resnet18,guided_backprop,ISIC_0012095,0.030647455754032476,-0.12821810299466088,0.29432590893175853,1.4514808358735778
resnet18,integrated_gradients,ISIC_0012095,0.015393411604686569,-0.04407066850372688,0.2058483792931735,0.8864840488240152
resnet18,lrp,ISIC_0012095,-0.07176944451547637,-0.06806061736233993,0.3808836183950751,0.8542209153869589
resnet18,occlusion,ISIC_0012095,-0.01634330863733423,0.01076039159460489,0.28152985264791114,-0.3345142510090134
resnet18,saliency,ISIC_0012095,0.37803254082731813,0.1525393104599171,0.4008103805479617,2.3017295188036924
resnet18,deep_lift,ISIC_0012134,0.2096879483114948,0.22878334201014036,0.5947461312106713,0.13092785633109383
resnet18,gradcam,ISIC_0012134,0.3369911550805699,0.17198660931434562,0.44957158201680386,1.5773970388459855
resnet18,guided_backprop,ISIC_0012134,0.08333233899083248,0.12879242668903726,0.632979616450207,-0.4317582451613373
resnet18,integrated_gradients,ISIC_0012134,0.1888311425100915,0.12180501429362646,0.41414303800327956,1.2353782476380613
resnet18,lrp,ISIC_0012134,0.22239696542983978,0.2775741842783428,0.8336054130351426,0.3691905451807477
resnet18,occlusion,ISIC_0012134,0.2563549185196662,0.23093014301668813,0.4969298199831906,0.4471043576822254
resnet18,saliency,ISIC_0012134,0.4513823299392249,0.2640417683957455,0.5597362851464439,1.8670964230257132
resnet18,deep_lift,ISIC_0012136,-0.18049298486532186,-0.026348447209780527,0.3267264861297172,-1.0807802055044742
resnet18,gradcam,ISIC_0012136,0.27115424828201856,0.10911762286004345,0.4143067423221289,1.028632176806374
resnet18,guided_backprop,ISIC_0012136,0.028529316390794132,0.10378826695362094,0.6021380407218888,-0.7624671995642726
resnet18,integrated_gradients,ISIC_0012136,0.0937568639771859,0.23563092119191162,0.5446318274867208,-0.8188018923389194
resnet18,lrp,ISIC_0012136,0.19281842230185542,0.2746701001309499,0.8339747953459484,-0.0003006574601046777
resnet18,occlusion,ISIC_0012136,-0.060183596996407206,0.06590266144353626,0.26328643793250306,-0.4880955020515705
resnet18,saliency,ISIC_0012136,0.26768114848607405,0.2517066131839846,0.5451333073199572,0.46075657370559997
resnet18,deep_lift,ISIC_0012147,0.15462890624083026,0.010846800742977974,0.343986359191782,1.0836783716837697
resnet18,gradcam,ISIC_0012147,0.2439004161117462,0.3217642348099631,0.3423549281811088,0.6347983341429562
resnet18,guided_backprop,ISIC_0012147,-0.3995260102968628,-0.23286172586127038,0.1897273142511729,-1.4618220929236119
resnet18,integrated_gradients,ISIC_0012147,0.18952859588859225,0.004362980291654769,0.3365408343225804,1.2805100212645955
resnet18,lrp,ISIC_0012147,-0.20434109431247563,-0.10486622338163802,0.37409166928913384,-0.17288862399080565
resnet18,occlusion,ISIC_0012147,-0.11667832425427024,-0.1357434426287944,0.06858502791346584,0.28450165354927237
resnet18,saliency,ISIC_0012147,-0.03403292805885917,0.021975474042419514,0.3030489348811573,-0.5212548237012231
resnet18,deep_lift,ISIC_0012149,-0.11466904221744328,-0.09750716037723649,0.18263196531903803,0.34521791300029825
resnet18,gradcam,ISIC_0012149,-0.2427856265338488,-0.15681766555896154,0.05602617856632325,-0.6860687197435117
resnet18,guided_backprop,ISIC_0012149,0.02247785989855439,-0.22548487004467968,0.1590967322011372,1.7547132643325276
resnet18,integrated_gradients,ISIC_0012149,0.008656916019258285,0.01298566897869301,0.35690079506991096,0.09478743725211757
resnet18,lrp,ISIC_0012149,-0.18747268146215254,-0.09041249526173654,0.3892308391552101,-0.06595999508554107
resnet18,occlusion,ISIC_0012149,-0.016747211842683865,0.024911507256881675,0.18321863526854,0.25465308216587745
