model,image_id,fae_method,metric,score,error
resnet18,ISIC_0012258,occlusion,complexity,11.631799697875977,
resnet18,ISIC_0012258,occlusion,model_parameter_randomisation,,nan
resnet18,ISIC_0012258,occlusion,random_logit,0.3674503045256089,
resnet18,ISIC_0012258,occlusion,completeness,,nan
resnet18,ISIC_0012258,occlusion,non_sensitivity,,nan
squeezenet,ISIC_0012258,integrated_gradients,faithfulness_correlation,0.05323124676942825,
squeezenet,ISIC_0012258,integrated_gradients,pixel_flipping,75.48332214355469,
squeezenet,ISIC_0012258,integrated_gradients,max_sensitivity,1.3524343967437744,
squeezenet,ISIC_0012258,integrated_gradients,avg_sensitivity,1.2929959416389465,
squeezenet,ISIC_0012258,integrated_gradients,relevance_mass_accuracy,0.1691572666168213,
squeezenet,ISIC_0012258,integrated_gradients,pointing_game,1.0,
squeezenet,ISIC_0012258,integrated_gradients,sparseness,0.6324207880396562,
squeezenet,ISIC_0012258,integrated_gradients,complexity,11.175951957702637,
squeezenet,ISIC_0012258,integrated_gradients,model_parameter_randomisation,,nan
squeezenet,ISIC_0012258,integrated_gradients,random_logit,0.6813309885643232,
squeezenet,ISIC_0012258,integrated_gradients,completeness,0.0,
squeezenet,ISIC_0012258,integrated_gradients,non_sensitivity,,nan
squeezenet,ISIC_0012258,saliency,faithfulness_correlation,0.17313063144683838,
squeezenet,ISIC_0012258,saliency,pixel_flipping,68.67472839355469,
squeezenet,ISIC_0012258,saliency,max_sensitivity,0.9481920599937439,
squeezenet,ISIC_0012258,saliency,avg_sensitivity,0.9221330761909485,
squeezenet,ISIC_0012258,saliency,relevance_mass_accuracy,0.10467464476823807,
squeezenet,ISIC_0012258,saliency,pointing_game,1.0,
squeezenet,ISIC_0012258,saliency,sparseness,0.6101290188501541,
squeezenet,ISIC_0012258,saliency,complexity,11.244487762451172,
squeezenet,ISIC_0012258,saliency,model_parameter_randomisation,,nan
squeezenet,ISIC_0012258,saliency,random_logit,0.47059236535769006,
squeezenet,ISIC_0012258,saliency,completeness,,nan
squeezenet,ISIC_0012258,saliency,non_sensitivity,,nan
