model,image_id,eff_ensemble,eff_individual_mean,eff_individual_best,eff_best_fixed,eff_best_fixed_gradient,best_fixed_method,best_fixed_gradient_method
resnet18,ISIC_0012086,0.2066594578741546,0.1405513151847336,0.28682653941168834,0.16681277834612265,0.2392592754230642,occlusion,gradcam
resnet18,ISIC_0012092,-0.00032232584825202845,-0.04685987242343825,0.33629582074013725,0.33629582074013725,0.14418120859071934,occlusion,gradcam
resnet18,ISIC_0012095,0.4466365747451257,0.11263249541623585,0.39883257248891474,0.05021189646701864,0.2471214137436662,occlusion,gradcam
resnet18,ISIC_0012134,0.4861675769487572,0.26547741454173607,0.5038594298410393,0.2748351609284016,0.3890285689440561,occlusion,gradcam
resnet18,ISIC_0012136,0.08789669503587484,0.11155031483221164,0.30832937533627774,-0.040662471252419945,0.30832937533627774,occlusion,gradcam
resnet18,ISIC_0012147,0.07884805029825089,0.07050125854142222,0.5966750766888588,-0.11013195464034285,0.2595600047255592,occlusion,gradcam
resnet18,ISIC_0012149,-0.10946960815842224,-0.13563425795432082,0.03575221462388477,-0.008593188343977645,-0.23947291046198568,occlusion,gradcam
resnet18,ISIC_0012152,0.15935143723855252,0.12780277905805984,0.4875491493389391,0.3690489117160208,0.4875491493389391,occlusion,gradcam
resnet18,ISIC_0012178,-0.11179207004977736,-0.029982493847335367,0.1462431399774891,0.030008502065628963,-0.23737146090723935,occlusion,gradcam
resnet18,ISIC_0012199,-0.12735554651716213,-0.0761332875630291,0.3347792278211374,0.07284587222499914,0.2086258773774945,occlusion,gradcam
resnet18,ISIC_0012207,0.07718324972095249,-0.035491981740368835,0.15800004119290403,-0.11900513351177032,-0.10871836715077783,occlusion,gradcam
resnet18,ISIC_0012215,0.1545268951995769,0.06217380613054298,0.34482425160984526,0.0967582652376092,0.34482425160984526,occlusion,gradcam
resnet18,ISIC_0012216,-0.1449477313463516,-0.013600511276463398,0.419805525273756,0.419805525273756,-0.12564635855564477,occlusion,gradcam
resnet18,ISIC_0012223,0.316691554232036,0.23034325395400881,0.4426060089346689,0.32246420431616035,0.06903419249731549,occlusion,gradcam
resnet18,ISIC_0012240,0.06807286318138393,0.09544027854163696,0.4282667882545895,0.33960141774553415,0.0891914381278591,occlusion,gradcam
