model,image_id,fae_method,effectiveness_index,operator
squeezenet,ISIC_0012425,saliency,0.017695201425072884,weighted_mean
resnet18,ISIC_0012989,guided_backprop,0.00935653389367741,weighted_mean
resnet18,ISIC_0013072,occlusion,0.005181249059659431,weighted_mean
squeezenet,ISIC_0012369,gradcam,0.004522632643862632,weighted_mean
squeezenet,ISIC_0012369,saliency,0.0013934208860096023,weighted_mean
resnet18,ISIC_0012425,gradcam,-0.000685648970294106,weighted_mean
resnet18,ISIC_0012356,occlusion,-0.003939924270251459,weighted_mean
squeezenet,ISIC_0013321,gradcam,-0.0041974071649316415,weighted_mean
resnet18,ISIC_0013072,saliency,-0.005535173274177358,weighted_mean
squeezenet,ISIC_0012425,gradcam,-0.010428431193163216,weighted_mean
resnet18,ISIC_0013073,lrp,-0.011181401786813408,weighted_mean
resnet18,ISIC_0013321,integrated_gradients,-0.012279875838852372,weighted_mean
squeezenet,ISIC_0013277,saliency,-0.013250838010154241,weighted_mean
squeezenet,ISIC_0013072,gradcam,-0.014781796764438594,weighted_mean
squeezenet,ISIC_0012258,saliency,-0.01762304909461919,weighted_mean
squeezenet,ISIC_0013277,deep_lift,-0.018636872776904425,weighted_mean
resnet18,ISIC_0012425,saliency,-0.01951410511251206,weighted_mean
resnet18,ISIC_0012356,integrated_gradients,-0.034428541855312494,weighted_mean
squeezenet,ISIC_0012989,guided_backprop,-0.034846250045352106,weighted_mean
resnet18,ISIC_0013242,gradcam,-0.042918279145712675,weighted_mean
squeezenet,ISIC_0012758,guided_backprop,-0.05654816714426933,weighted_mean
resnet18,ISIC_0013073,integrated_gradients,-0.05660480062106753,weighted_mean
squeezenet,ISIC_0013321,occlusion,-0.057849949589449286,weighted_mean
resnet18,ISIC_0012989,gradcam,-0.06077440951763388,weighted_mean
resnet18,ISIC_0012989,deep_lift,-0.062450234182126946,weighted_mean
resnet18,ISIC_0013321,deep_lift,-0.0695493267519225,weighted_mean
squeezenet,ISIC_0013073,guided_backprop,-0.072053135139104,weighted_mean
resnet18,ISIC_0013073,deep_lift,-0.07206278723157235,weighted_mean
squeezenet,ISIC_0013242,saliency,-0.07286788809194662,weighted_mean
squeezenet,ISIC_0012395,deep_lift,-0.0766313108772886,weighted_mean
squeezenet,ISIC_0012989,lrp,-0.07689653685004795,weighted_mean
squeezenet,ISIC_0013072,deep_lift,-0.07703177621528114,weighted_mean
squeezenet,ISIC_0012356,gradcam,-0.082758616697319,weighted_mean
squeezenet,ISIC_0012369,guided_backprop,-0.08308817956491873,weighted_mean
squeezenet,ISIC_0013321,lrp,-0.08351695279204388,weighted_mean
squeezenet,ISIC_0013321,deep_lift,-0.08419328787585989,weighted_mean
resnet18,ISIC_0013072,integrated_gradients,-0.08663839569602227,weighted_mean
squeezenet,ISIC_0012356,saliency,-0.09015797350641422,weighted_mean
squeezenet,ISIC_0013277,integrated_gradients,-0.09368381380976465,weighted_mean
squeezenet,ISIC_0013072,lrp,-0.09387632503566445,weighted_mean
squeezenet,ISIC_0012258,occlusion,-0.09493011253772216,weighted_mean
squeezenet,ISIC_0012395,integrated_gradients,-0.10142836056372413,weighted_mean
resnet18,ISIC_0012989,lrp,-0.10686673610949121,weighted_mean
squeezenet,ISIC_0013277,lrp,-0.11055300447521146,weighted_mean
squeezenet,ISIC_0012258,guided_backprop,-0.12635002773433204,weighted_mean
squeezenet,ISIC_0012395,lrp,-0.13087636356126892,weighted_mean
squeezenet,ISIC_0013072,guided_backprop,-0.1311276451964562,weighted_mean
squeezenet,ISIC_0013242,guided_backprop,-0.13150391560425434,weighted_mean
resnet18,ISIC_0012258,saliency,-0.1343573369534355,weighted_mean
squeezenet,ISIC_0013073,lrp,-0.13529527730232652,weighted_mean
squeezenet,ISIC_0013321,guided_backprop,-0.13720728188228482,weighted_mean
squeezenet,ISIC_0012258,lrp,-0.13889124592186364,weighted_mean
squeezenet,ISIC_0013072,integrated_gradients,-0.1416945441136842,weighted_mean
squeezenet,ISIC_0012369,lrp,-0.14975861116502054,weighted_mean
squeezenet,ISIC_0013277,guided_backprop,-0.15955837933573527,weighted_mean
squeezenet,ISIC_0013242,deep_lift,-0.16249519051547068,weighted_mean
resnet18,ISIC_0012425,deep_lift,-0.16478846589723178,weighted_mean
squeezenet,ISIC_0012425,integrated_gradients,-0.16570482452302873,weighted_mean
squeezenet,ISIC_0012425,lrp,-0.1673314198103733,weighted_mean
resnet18,ISIC_0013072,guided_backprop,-0.16765777126606934,weighted_mean
squeezenet,ISIC_0013242,integrated_gradients,-0.1715984047884222,weighted_mean
squeezenet,ISIC_0012425,guided_backprop,-0.17270518697073575,weighted_mean
squeezenet,ISIC_0012425,deep_lift,-0.17299679625037928,weighted_mean
squeezenet,ISIC_0012258,integrated_gradients,-0.1764093645619613,weighted_mean
squeezenet,ISIC_0013073,integrated_gradients,-0.17881832823986252,weighted_mean
squeezenet,ISIC_0012758,integrated_gradients,-0.18070968466034512,weighted_mean
squeezenet,ISIC_0012369,integrated_gradients,-0.18230483176146953,weighted_mean
squeezenet,ISIC_0013242,lrp,-0.18650814025350396,weighted_mean
squeezenet,ISIC_0012989,integrated_gradients,-0.18817109316031633,weighted_mean
resnet18,ISIC_0013277,guided_backprop,-0.1991892272594284,weighted_mean
squeezenet,ISIC_0012356,occlusion,-0.21577016518973727,weighted_mean
squeezenet,ISIC_0013073,deep_lift,-0.22493656428521205,weighted_mean
squeezenet,ISIC_0012989,deep_lift,-0.22510492253662415,weighted_mean
squeezenet,ISIC_0012425,occlusion,-0.23089366665872912,weighted_mean
squeezenet,ISIC_0012758,deep_lift,-0.23959448924437224,weighted_mean
squeezenet,ISIC_0012369,deep_lift,-0.24297158813565709,weighted_mean
resnet18,ISIC_0012356,lrp,-0.2653188087959064,weighted_mean
resnet18,ISIC_0012395,lrp,-0.2669817830069497,weighted_mean
squeezenet,ISIC_0013321,integrated_gradients,-0.2709652000703974,weighted_mean
squeezenet,ISIC_0012758,lrp,-0.28420989244071154,weighted_mean
resnet18,ISIC_0013072,deep_lift,-0.2983144884416342,weighted_mean
squeezenet,ISIC_0012356,guided_backprop,-0.316774455443356,weighted_mean
squeezenet,ISIC_0012356,deep_lift,-0.34137186383166274,weighted_mean
squeezenet,ISIC_0012258,deep_lift,-0.39918341099483157,weighted_mean
squeezenet,ISIC_0012356,lrp,-0.4369163584374647,weighted_mean
squeezenet,ISIC_0012356,integrated_gradients,-0.4385996386802722,weighted_mean
resnet18,ISIC_0012356,guided_backprop,-0.7601636244498378,weighted_mean
resnet18,ISIC_0013277,lrp,-0.8009747041660589,weighted_mean
resnet18,ISIC_0012258,lrp,-0.9368809864717331,weighted_mean
squeezenet,ISIC_0012395,guided_backprop,-1.0667436910169292,weighted_mean
