model,image_id,fae_method,metric,score
resnet18,ISIC_0012258,occlusion,random_logit,0.3679064070770515
resnet18,ISIC_0012258,occlusion,completeness,
resnet18,ISIC_0012258,occlusion,non_sensitivity,
squeezenet,ISIC_0012258,integrated_gradients,faithfulness_correlation,0.052797190845012665
squeezenet,ISIC_0012258,integrated_gradients,pixel_flipping,75.55996704101562
squeezenet,ISIC_0012258,integrated_gradients,max_sensitivity,1.352044939994812
squeezenet,ISIC_0012258,integrated_gradients,avg_sensitivity,1.2927627086639404
squeezenet,ISIC_0012258,integrated_gradients,relevance_mass_accuracy,0.17000743746757507
squeezenet,ISIC_0012258,integrated_gradients,pointing_game,1.0
squeezenet,ISIC_0012258,integrated_gradients,sparseness,0.6324632326942676
squeezenet,ISIC_0012258,integrated_gradients,complexity,11.17589282989502
squeezenet,ISIC_0012258,integrated_gradients,model_parameter_randomisation,0.366190576192935
squeezenet,ISIC_0012258,integrated_gradients,random_logit,0.6804027486295519
squeezenet,ISIC_0012258,integrated_gradients,completeness,0.0
squeezenet,ISIC_0012258,integrated_gradients,non_sensitivity,
squeezenet,ISIC_0012258,saliency,faithfulness_correlation,0.17457315325737
squeezenet,ISIC_0012258,saliency,pixel_flipping,67.57637023925781
squeezenet,ISIC_0012258,saliency,max_sensitivity,0.9466041922569275
squeezenet,ISIC_0012258,saliency,avg_sensitivity,0.9213365018367767
squeezenet,ISIC_0012258,saliency,relevance_mass_accuracy,0.10434480756521225
squeezenet,ISIC_0012258,saliency,pointing_game,1.0
squeezenet,ISIC_0012258,saliency,sparseness,0.6096317865450837
squeezenet,ISIC_0012258,saliency,complexity,11.245851516723633
squeezenet,ISIC_0012258,saliency,model_parameter_randomisation,0.33807881353630154
squeezenet,ISIC_0012258,saliency,random_logit,0.47561433378898443
squeezenet,ISIC_0012258,saliency,completeness,
squeezenet,ISIC_0012258,saliency,non_sensitivity,
squeezenet,ISIC_0012258,gradcam,faithfulness_correlation,0.2678220868110657
squeezenet,ISIC_0012258,gradcam,pixel_flipping,234.20785522460938
squeezenet,ISIC_0012258,gradcam,max_sensitivity,0.39447256922721863
squeezenet,ISIC_0012258,gradcam,avg_sensitivity,0.3712772220373154
squeezenet,ISIC_0012258,gradcam,relevance_mass_accuracy,0.09101284295320511
squeezenet,ISIC_0012258,gradcam,pointing_game,0.0
squeezenet,ISIC_0012258,gradcam,sparseness,0.6354802366684439
squeezenet,ISIC_0012258,gradcam,complexity,11.192194938659668
squeezenet,ISIC_0012258,gradcam,model_parameter_randomisation,
squeezenet,ISIC_0012258,gradcam,random_logit,0.5883935442701631
squeezenet,ISIC_0012258,gradcam,completeness,
squeezenet,ISIC_0012258,gradcam,non_sensitivity,
squeezenet,ISIC_0012258,deep_lift,faithfulness_correlation,-0.13202506303787231
squeezenet,ISIC_0012258,deep_lift,pixel_flipping,84.90614318847656
squeezenet,ISIC_0012258,deep_lift,max_sensitivity,1.3878889083862305
squeezenet,ISIC_0012258,deep_lift,avg_sensitivity,1.2825916409492493
squeezenet,ISIC_0012258,deep_lift,relevance_mass_accuracy,0.06494071334600449
squeezenet,ISIC_0012258,deep_lift,pointing_game,0.0
squeezenet,ISIC_0012258,deep_lift,sparseness,0.6558395056358949
squeezenet,ISIC_0012258,deep_lift,complexity,11.074408531188965
squeezenet,ISIC_0012258,deep_lift,model_parameter_randomisation,0.3309485859035376
squeezenet,ISIC_0012258,deep_lift,random_logit,0.7090098363125538
squeezenet,ISIC_0012258,deep_lift,completeness,0.0
squeezenet,ISIC_0012258,deep_lift,non_sensitivity,
squeezenet,ISIC_0012258,guided_backprop,faithfulness_correlation,0.05344797670841217
squeezenet,ISIC_0012258,guided_backprop,pixel_flipping,102.61258697509766
squeezenet,ISIC_0012258,guided_backprop,max_sensitivity,1.0941556692123413
squeezenet,ISIC_0012258,guided_backprop,avg_sensitivity,1.0278081595897675
squeezenet,ISIC_0012258,guided_backprop,relevance_mass_accuracy,0.11651518195867538
squeezenet,ISIC_0012258,guided_backprop,pointing_game,1.0
squeezenet,ISIC_0012258,guided_backprop,sparseness,0.7031895835652218
squeezenet,ISIC_0012258,guided_backprop,complexity,10.932236671447754
squeezenet,ISIC_0012258,guided_backprop,model_parameter_randomisation,0.696647066162715
squeezenet,ISIC_0012258,guided_backprop,random_logit,0.872930358112361
squeezenet,ISIC_0012258,guided_backprop,completeness,
squeezenet,ISIC_0012258,guided_backprop,non_sensitivity,
squeezenet,ISIC_0012258,lrp,faithfulness_correlation,0.15802907943725586
squeezenet,ISIC_0012258,lrp,pixel_flipping,61.48777389526367
squeezenet,ISIC_0012258,lrp,max_sensitivity,1.3656247854232788
squeezenet,ISIC_0012258,lrp,avg_sensitivity,1.3161589980125428
squeezenet,ISIC_0012258,lrp,relevance_mass_accuracy,-2.3058321475982666
squeezenet,ISIC_0012258,lrp,pointing_game,1.0
squeezenet,ISIC_0012258,lrp,sparseness,0.603152380026238
squeezenet,ISIC_0012258,lrp,complexity,11.263506889343262
squeezenet,ISIC_0012258,lrp,model_parameter_randomisation,0.3554569576852132
squeezenet,ISIC_0012258,lrp,random_logit,0.4999055516657116
squeezenet,ISIC_0012258,lrp,completeness,0.0
squeezenet,ISIC_0012258,lrp,non_sensitivity,
squeezenet,ISIC_0012258,occlusion,faithfulness_correlation,0.20621967315673828
squeezenet,ISIC_0012258,occlusion,pixel_flipping,80.86174774169922
squeezenet,ISIC_0012258,occlusion,max_sensitivity,0.7371413111686707
squeezenet,ISIC_0012258,occlusion,avg_sensitivity,0.6642990231513977
squeezenet,ISIC_0012258,occlusion,relevance_mass_accuracy,0.2652221620082855
squeezenet,ISIC_0012258,occlusion,pointing_game,0.0
squeezenet,ISIC_0012258,occlusion,sparseness,0.43182709680652537
squeezenet,ISIC_0012258,occlusion,complexity,11.615105628967285
squeezenet,ISIC_0012258,occlusion,model_parameter_randomisation,0.06716123638315256
squeezenet,ISIC_0012258,occlusion,random_logit,0.3442057388052805
squeezenet,ISIC_0012258,occlusion,completeness,
squeezenet,ISIC_0012258,occlusion,non_sensitivity,
resnet18,ISIC_0012356,integrated_gradients,faithfulness_correlation,0.05926530808210373
resnet18,ISIC_0012356,integrated_gradients,pixel_flipping,27.498329162597656
resnet18,ISIC_0012356,integrated_gradients,max_sensitivity,1.3495428562164307
resnet18,ISIC_0012356,integrated_gradients,avg_sensitivity,1.32100590467453
resnet18,ISIC_0012356,integrated_gradients,relevance_mass_accuracy,0.011149320751428604
resnet18,ISIC_0012356,integrated_gradients,pointing_game,0.0
resnet18,ISIC_0012356,integrated_gradients,sparseness,0.601032167168432
resnet18,ISIC_0012356,integrated_gradients,complexity,11.28310775756836
resnet18,ISIC_0012356,integrated_gradients,model_parameter_randomisation,0.5210864642829631
resnet18,ISIC_0012356,integrated_gradients,random_logit,0.5404169133541422
resnet18,ISIC_0012356,integrated_gradients,completeness,0.0
resnet18,ISIC_0012356,integrated_gradients,non_sensitivity,
resnet18,ISIC_0012356,saliency,faithfulness_correlation,0.08796485513448715
resnet18,ISIC_0012356,saliency,pixel_flipping,56.40552520751953
resnet18,ISIC_0012356,saliency,max_sensitivity,0.8585291504859924
resnet18,ISIC_0012356,saliency,avg_sensitivity,0.8306472599506378
resnet18,ISIC_0012356,saliency,relevance_mass_accuracy,0.5296792387962341
resnet18,ISIC_0012356,saliency,pointing_game,1.0
resnet18,ISIC_0012356,saliency,sparseness,0.48595806770974415
resnet18,ISIC_0012356,saliency,complexity,11.518572807312012
resnet18,ISIC_0012356,saliency,model_parameter_randomisation,0.17240055234157978
resnet18,ISIC_0012356,saliency,random_logit,0.4096476835638037
resnet18,ISIC_0012356,saliency,completeness,
resnet18,ISIC_0012356,saliency,non_sensitivity,
resnet18,ISIC_0012356,gradcam,faithfulness_correlation,-0.021019866690039635
resnet18,ISIC_0012356,gradcam,pixel_flipping,134.8892059326172
resnet18,ISIC_0012356,gradcam,max_sensitivity,1.1261646747589111
resnet18,ISIC_0012356,gradcam,avg_sensitivity,0.8326918542385101
resnet18,ISIC_0012356,gradcam,relevance_mass_accuracy,0.472783625125885
resnet18,ISIC_0012356,gradcam,pointing_game,1.0
resnet18,ISIC_0012356,gradcam,sparseness,0.4192951240543071
resnet18,ISIC_0012356,gradcam,complexity,11.615274429321289
resnet18,ISIC_0012356,gradcam,model_parameter_randomisation,0.0850455508280735
resnet18,ISIC_0012356,gradcam,random_logit,0.6806435690058732
resnet18,ISIC_0012356,gradcam,completeness,
resnet18,ISIC_0012356,gradcam,non_sensitivity,
resnet18,ISIC_0012356,deep_lift,faithfulness_correlation,0.20143434405326843
resnet18,ISIC_0012356,deep_lift,pixel_flipping,21.470901489257812
resnet18,ISIC_0012356,deep_lift,max_sensitivity,1.1400842666625977
resnet18,ISIC_0012356,deep_lift,avg_sensitivity,1.1274847149848939
resnet18,ISIC_0012356,deep_lift,relevance_mass_accuracy,0.04784490913152695
resnet18,ISIC_0012356,deep_lift,pointing_game,0.0
resnet18,ISIC_0012356,deep_lift,sparseness,0.6133391966754427
resnet18,ISIC_0012356,deep_lift,complexity,11.246038436889648
resnet18,ISIC_0012356,deep_lift,model_parameter_randomisation,0.5272482356488559
resnet18,ISIC_0012356,deep_lift,random_logit,0.7337170029551094
resnet18,ISIC_0012356,deep_lift,completeness,0.0
resnet18,ISIC_0012356,deep_lift,non_sensitivity,
resnet18,ISIC_0012356,guided_backprop,faithfulness_correlation,0.1530996859073639
resnet18,ISIC_0012356,guided_backprop,pixel_flipping,29.007808685302734
resnet18,ISIC_0012356,guided_backprop,max_sensitivity,0.8057279586791992
resnet18,ISIC_0012356,guided_backprop,avg_sensitivity,0.8056760668754578
resnet18,ISIC_0012356,guided_backprop,relevance_mass_accuracy,-52.35470199584961
resnet18,ISIC_0012356,guided_backprop,pointing_game,0.0
resnet18,ISIC_0012356,guided_backprop,sparseness,0.7000696683134908
resnet18,ISIC_0012356,guided_backprop,complexity,10.841931343078613
resnet18,ISIC_0012356,guided_backprop,model_parameter_randomisation,0.607714384406141
resnet18,ISIC_0012356,guided_backprop,random_logit,0.9924791034790843
resnet18,ISIC_0012356,guided_backprop,completeness,
resnet18,ISIC_0012356,guided_backprop,non_sensitivity,
resnet18,ISIC_0012356,lrp,faithfulness_correlation,-0.20549170672893524
resnet18,ISIC_0012356,lrp,pixel_flipping,78.3382797241211
resnet18,ISIC_0012356,lrp,max_sensitivity,1.8593487739562988
resnet18,ISIC_0012356,lrp,avg_sensitivity,2.313950765132904
resnet18,ISIC_0012356,lrp,relevance_mass_accuracy,-1.445841670036316
resnet18,ISIC_0012356,lrp,pointing_game,0.0
resnet18,ISIC_0012356,lrp,sparseness,0.9316409471590491
resnet18,ISIC_0012356,lrp,complexity,9.209261894226074
resnet18,ISIC_0012356,lrp,model_parameter_randomisation,0.497244809529199
resnet18,ISIC_0012356,lrp,random_logit,0.9929219863489044
resnet18,ISIC_0012356,lrp,completeness,0.0
resnet18,ISIC_0012356,lrp,non_sensitivity,
resnet18,ISIC_0012356,occlusion,faithfulness_correlation,0.0772709771990776
resnet18,ISIC_0012356,occlusion,pixel_flipping,23.8953857421875
resnet18,ISIC_0012356,occlusion,max_sensitivity,1.5235499143600464
resnet18,ISIC_0012356,occlusion,avg_sensitivity,1.2979429125785829
resnet18,ISIC_0012356,occlusion,relevance_mass_accuracy,1.720125675201416
resnet18,ISIC_0012356,occlusion,pointing_game,0.0
resnet18,ISIC_0012356,occlusion,sparseness,0.452190634458129
resnet18,ISIC_0012356,occlusion,complexity,11.57266616821289
resnet18,ISIC_0012356,occlusion,model_parameter_randomisation,0.029967874928724585
resnet18,ISIC_0012356,occlusion,random_logit,0.41135619208517227
resnet18,ISIC_0012356,occlusion,completeness,
resnet18,ISIC_0012356,occlusion,non_sensitivity,
squeezenet,ISIC_0012356,integrated_gradients,faithfulness_correlation,-0.1776256412267685
squeezenet,ISIC_0012356,integrated_gradients,pixel_flipping,44.86948776245117
squeezenet,ISIC_0012356,integrated_gradients,max_sensitivity,1.4369304180145264
squeezenet,ISIC_0012356,integrated_gradients,avg_sensitivity,1.3755740404129029
