model,image_id,eff_ensemble,eff_individual_mean,eff_individual_best,eff_best_fixed,eff_best_fixed_gradient,best_fixed_method,best_fixed_gradient_method
resnet18,ISIC_0012086,0.16886078396368584,0.13202363648488716,0.25778575511616814,0.13421323055093576,0.17716792501064454,occlusion,gradcam
resnet18,ISIC_0012092,-0.010011551896135515,-0.022683215114342018,0.3164006900325515,0.3164006900325515,0.12845129667283456,occlusion,gradcam
resnet18,ISIC_0012095,0.43564207664842786,0.08319740056589801,0.3860052250915419,-0.0109914123854949,0.23574377999818935,occlusion,gradcam
resnet18,ISIC_0012134,0.4406368108816873,0.25508022401723773,0.4580903713483463,0.2617753764332926,0.34373109397996204,occlusion,gradcam
resnet18,ISIC_0012136,0.06177794870648839,0.09133252020077876,0.27613457920817913,-0.05924099270974181,0.27613457920817913,occlusion,gradcam
resnet18,ISIC_0012147,0.07447943744675958,-0.01920273407070399,0.25240109053205023,-0.11529800910837297,0.25240109053205023,occlusion,gradcam
resnet18,ISIC_0012149,-0.1147581735053244,-0.10122999190724756,0.0241499177821828,-0.01486265521894707,-0.24235406123895525,occlusion,gradcam
resnet18,ISIC_0012152,0.14537309560620235,0.09429082231564125,0.46756090238328657,0.32913807434046455,0.46756090238328657,occlusion,gradcam
resnet18,ISIC_0012178,-0.11399838196339221,-0.022897256044168552,0.14531077469676548,0.06604608967041019,-0.23737465541100253,occlusion,gradcam
resnet18,ISIC_0012199,-0.1378678969823041,-0.006857477620857926,0.2302875018855357,0.11965448648140128,0.19023363773010885,occlusion,gradcam
resnet18,ISIC_0012207,0.06869337730051964,-0.06078345241745281,0.07319835338367534,-0.13074129817772082,-0.11679603620086164,occlusion,gradcam
resnet18,ISIC_0012215,0.11881201054737552,0.10837248135589099,0.29909390883191955,0.04998533359166584,0.29909390883191955,occlusion,gradcam
resnet18,ISIC_0012216,-0.15927342580070827,-0.014754302170279772,0.3789451998768243,0.3789451998768243,-0.13819774362651963,occlusion,gradcam
resnet18,ISIC_0012223,0.28716382359852305,0.19993726518765856,0.40643398351170923,0.26683487356285057,0.04733184516770762,occlusion,gradcam
resnet18,ISIC_0012240,0.0441710881253407,0.10284728980824863,0.40113270024758096,0.33784762052754846,0.0663846031941545,occlusion,gradcam
resnet18,ISIC_0012248,0.01593655642134603,0.06717374383736784,0.2855091907634573,0.17451561556847967,-0.09947723071419583,occlusion,gradcam
resnet18,ISIC_0012258,-0.0673539273586651,-0.08889469243666927,0.24620966804541894,0.24620966804541894,-0.07463154158603025,occlusion,gradcam
resnet18,ISIC_0012265,-0.1722199015097152,-0.03517631160506187,0.0681366729379563,-0.19745549741494095,0.0681366729379563,occlusion,gradcam
resnet18,ISIC_0012266,-0.017956263272949555,0.09392150145980774,0.2580333502391183,0.11585401324291443,-0.11664094967257099,occlusion,gradcam
resnet18,ISIC_0012272,-0.04822890729928482,0.07364171986991472,0.3557163455731985,0.18230871768978243,0.2285912819860402,occlusion,gradcam
resnet18,ISIC_0012273,0.15460793833126502,0.09702907998105355,0.23567190135480207,0.09184323221066519,0.002214289722070812,occlusion,gradcam
resnet18,ISIC_0012314,-0.27731281874399966,-0.09614004533344327,0.17224221343197774,0.17224221343197774,-0.029365109214577727,occlusion,gradcam
resnet18,ISIC_0012323,0.17922320010826392,0.10203762748474489,0.25631436993855566,0.07650794432542825,-0.044312993352750414,occlusion,gradcam
resnet18,ISIC_0012330,0.07633496254344051,0.06041856909777558,0.3057770915674803,0.3057770915674803,0.06719960447826719,occlusion,gradcam
